station_id,adresse,ville,cp,latitude,longitude
10000005,210 Rue du Faubourg Croncels,Troyes,10000,4828300,407900
10000006,3 Rue de la Mission,TROYES,10000,4828900,407600
10000018,1 CHAUSSEE DU VOULDY,TROYES,10000,4829400,408300
10000019,"17, BLD GEORGES POMPIDOU",TROYES,10000,4828800,408000
10000020,"40, AVENUE CHOMEDEY DE MAISONNEU",TROYES,10000,4830440,407270
10100001,AVENUE DIDEROT,Romilly-sur-Seine,10100,4851018,371443
10100002,123 Rue Aristide Briand,Romilly-sur-Seine,10100,4850900,373200
10100003,70 Rue Aristide Briand,Romilly-sur-Seine,10100,4851200,372000
10100004,Zone Commerciale la Belle Idée Rn19,Romilly-sur-Seine,10100,4850493.0578477,376339.51732577
10110001,14 FAUX BOURG DE BOURGOGNE,Bar-sur-Seine,10110,4810600,437700
10110002,20 Avenue du Général Leclerc,Bar-sur-Seine,10110,4811577,438129
10120004,150 RUE DE TROYES,SAINT GERMAIN,10120,4826151.9408403,403420.37717194
10120006,114 ROUTE D'AUXERRE,SAINT ANDRE LES VERGERS,10120,4827292.4,405564.1
10123001,Avenue Charles de Refuge,Saint-André-les-Vergers,10120,4828177.6863104,405257.74803961
10130001,ROUTE DE DAVREY,Ervy-le-Châtel,10130,4804600,392400
10130004,321 rue des Carrés,AUXON,10130,4811000,392100
10140001,5 RUE DES TANNERIES,VENDEUVRE-SUR-BARSE,10140,4823700,446700
10150001,5 Rue Roger Salengro,Pont-Sainte-Marie,10150,4831200,409700
10150002,ZAC de Creney,PONT-SAINTE-MARIE,10150,4832800,411300
10150003,AIRE DE SERVICE - AUTOROUTE A26 SUD,Charmont-sous-Barbuise,10150,4841105.75553,414348.044661
10160001,29 Rue Joseph Anglade,AIX-EN-OTHE,10160,4821600,374100
10160002,38 RD660,VULAINES,10160,4823343.1710536,362630.70263483
10170001,ROUTE D ARCIS,MERY-SUR-SEINE,10170,4850802.13687,387881.675396
10180001,Rue du Général de Gaulle,SAINT-LYE,10180,4836700,399700
10190001,AVENUE DE LA REPUBLIQUE,ESTISSAC,10190,4827400,380400
10200002,Avenue du Général Leclerc,Bar-sur-Aube,10200,4823800,470100
10200004,Faubourg de Belfort,Bar-sur-Aube,10200,4822900,471700
10200006,18 rue Louis Desprez,Bar-sur-Aube,10200,4822636.1576053,471280.66819557
10210001,34 Route de Troyes,CHAOURCE,10210,4806600,414100
10210002,13 route de Troyes,CHAOURCE,10210,4805900,414100
10230001,RUE DE VIGNETTES,MAILLY-LE-CAMP,10230,4866800,419200
10230002,RN 7,Mailly-le-Camp,10230,4867500,419100
10250001,13 Route Départementale 671,Mussy-sur-Seine,10250,4798300,449600
10250002,3 Rue Paul Terillon,Mussy-sur-Seine,10250,4797500,449400
10260001,25 Faubourg de Champagne,FOUCHERES,10260,4815000,426200
10260003,RD185 LES GRANDES FOSSES,VAUDES,10260,4818100,418900
10270006,AUTOROUTE A5 - AIRE DE TROYES-FRESNOY-LE-CHÂTEAU,Fresnoy-le-Château,10270,4821100,424100
10270007,AUTOROUTE A5 - AIRE TROYES-LE-PLESSIS,Fresnoy-le-Château,10270,4821415.5554748,424098.06284308
10270009,9 rue de la Marrière,Lusigny-sur-Barse,10270,4826197.4565456,424944.07466826
10270010,29 Avenue Pierre Gomand,Lusigny-sur-Barse,10270,4825347,426119.9
10300002,24 Avenue du Général Leclerc,Sainte-Savine,10300,4829300,404300
10300005,82 AVENUE DU GENERAL LECLERC,Sainte-Savine,10300,4829200,403700
10310001,54 ROUTE DE DIJON,VILLE SOUS LA FERTE,10310,4812385.6,479002.8
10340001,25 Rue du Pont,Les Riceys,10340,4799651,436718
10350001,RUE SALENGRO,Marigny-le-Châtel,10350,4840600,373800
10360001,14 rue du bocage,essoyes,10360,4806063.95,453803.32
10370001,Rue Jean Moulin,VILLENAUXE-LA-GRANDE,10370,4858500,356100
10400002,AVENUE DU GENERAL DE GAULLE,NOGENT-SUR-SEINE,10400,4849240.75936,351288.606446
10400003,47 Route de Bray,Nogent-sur-Seine,10400,4848593,349118
10400007,25 RUE DU FAUBOURG DE SENS,TRAINEL,10400,4841000.8029162,343465.17846154
10410003,103 avenue du Général de Gaulle,SAINT PARRES AUX TERTRES,10410,4829795.1133716,413363.64178579
10430003,71 rue Victor Hugo,Rosières,10430,4826650.8041454,406117.27612853
10500001,RD 960,LESMONT,10500,4842800,442100
10500002,Rue du Général P.decouz,Brienne-le-Château,10500,4839900,451800
10500005,BOULEVARD NAPOLEON,Brienne-le-Château,10500,4839651.67,452825.6
10600002,4 Boulevard de l'Ouest,Sainte-Savine,10300,4830500,402700
10600005,118 Avenue du Général Sarrail,La Chapelle-Saint-Luc,10600,4830400,403200
10600009,RD 619,BARBEREY,10600,4833600,401800
10600012,ROUTE NATIONALE 19,BARBEREY ST SULPICE,10600,4833309.463,402311.1421
10700001,9 RUE DE BRIENNE,ARCIS-SUR-AUBE,10700,4853600,414500
10700002,"42, Route de Brienne (5 minutes A26 Sortie 21)",ARCIS-SUR-AUBE,10700,4853400,415600
10700003,104 rue de Paris,Arcis-sur-Aube,10700,4853500,413000
10800002,130 Avenue Michel Baroin,SAINT-JULIEN-LES-VILLAS,10800,4828100,409500
10800003,23 boulevard de Dijon,Saint-Julien-les-Villas,10800,4826800,408900
10800006,1 ROUTE DE MAISONS BLANCHES,Buchères,10800,4823700,410900
10800007,29 BOULEVARD DE DIJON,Saint-Julien-les-Villas,10800,4826800,408800
14000003,26 BOULEVARD DU MARECHAL JUIN,Caen,14000,4921000,-37400
14000009,7 RUE ROBERT KASKOREFF,Caen,14000,4918300,-40300
14000010,69 Avenue du Capitaine Georges Guynemer,Caen,14000,4916905,-34422
14000014,24 Rue Lanfranc,CAEN,14000,4918600,-38100
14000019,"73-75, AVENUE G. CLEMENCEAU",CAEN,14000,4918856,-35025
14000020,83 BOULEVARD YVES GUILLOU,CAEN,14000,4917300,-39000
14000021,AVENUE COTE DE NACRE,CAEN,14000,4919979,-36004
14053001,1 Boulevard Maréchal Juin,CAEN,14000,4921000,-36600
14100003,ROUTE DE PARIS,LISIEUX,14100,4914300,26600
14100004,61 Boulevard Sainte-Anne,Lisieux,14100,4914400,22200
